"happy","goodlife","satfin","degree","realinc","age","sex","polviews"
2,NA,1,0,8122,67,"female",NA
3,NA,3,0,13537,66,"male",NA
2,NA,2,3,43994,28,"male",NA
1,NA,1,1,43994,37,"male",NA
3,NA,2,3,8122,72,"female",NA
1,NA,2,2,24366,22,"female",NA
2,NA,3,1,8122,60,"female",NA
2,NA,1,0,24366,60,"female",NA
2,NA,2,0,24366,35,"male",NA
3,NA,2,1,37226,60,"male",NA
2,NA,2,3,8122,79,"male",NA
3,NA,3,0,30458,45,"male",NA
2,NA,2,0,8122,65,"female",NA
3,NA,3,1,24366,45,"male",NA
2,NA,2,1,13537,65,"female",NA
2,NA,2,2,24366,22,"female",NA
2,NA,3,1,8122,60,"male",NA
2,NA,1,3,37226,38,"male",NA
2,NA,3,1,NA,29,"female",NA
2,NA,2,1,18951,26,"male",NA
2,NA,2,1,2707,81,"female",NA
1,NA,1,0,13537,61,"female",NA
1,NA,3,0,30458,71,"female",NA
2,NA,2,1,30458,26,"male",NA
2,NA,2,0,2707,70,"male",NA
2,NA,3,1,30458,34,"male",NA
2,NA,1,0,30458,48,"male",NA
1,NA,1,1,13537,23,"female",NA
2,NA,2,0,24366,60,"male",NA
3,NA,3,0,18951,33,"male",NA
3,NA,3,0,NA,52,"female",NA
2,NA,1,0,13537,55,"female",NA
1,NA,1,0,18951,21,"female",NA
1,NA,1,1,8122,26,"male",NA
2,NA,1,0,NA,77,"female",NA
2,NA,1,0,13537,69,"female",NA
2,NA,2,4,13537,25,"male",NA
2,NA,1,1,18951,43,"female",NA
2,NA,2,1,NA,77,"female",NA
3,NA,2,0,8122,65,"male",NA
1,NA,2,0,18951,31,"male",NA
1,NA,1,0,24366,65,"male",NA
3,NA,3,0,2707,58,"male",NA
3,NA,1,1,13537,63,"female",NA
3,NA,3,3,24366,74,"female",NA
2,NA,3,1,NA,20,"male",NA
2,NA,3,1,43994,42,"female",NA
2,NA,1,1,43994,20,"male",NA
2,NA,2,1,30458,53,"female",NA
2,NA,2,1,13537,40,"male",NA
1,NA,2,0,24366,53,"male",NA
2,NA,3,NA,13537,35,"male",NA
3,NA,3,1,18951,20,"female",NA
2,NA,2,NA,8122,69,"female",NA
2,NA,2,NA,60915,60,"male",NA
3,NA,2,NA,50763,45,"male",NA
2,NA,1,1,60915,43,"male",NA
3,NA,3,0,NA,72,"male",NA
1,NA,2,3,13537,28,"female",NA
2,NA,2,NA,37226,35,"female",NA
1,NA,1,4,NA,43,"male",NA
3,NA,1,1,NA,51,"female",NA
2,NA,1,0,NA,45,"female",NA
2,NA,NA,1,NA,65,"female",NA
1,NA,1,3,NA,48,"male",NA
3,NA,2,4,NA,47,"male",NA
2,NA,2,3,43994,30,"male",NA
1,NA,1,3,NA,45,"female",NA
1,NA,1,1,NA,20,"female",NA
2,NA,3,0,8122,29,"female",NA
2,NA,2,1,18951,54,"male",NA
2,NA,3,0,8122,22,"female",NA
3,NA,2,0,13537,48,"male",NA
